,Unnamed: 0,ID,ANIO,LESIONADOS,FALLECIDOS,LATITUD_Y,LONGITUD_X,PROVINCIA,CANTON,PARROQUIA,ZONA,FECHA,HORA,PERIODO_2,DIA_1,DIA_2,MES_1,MES_2,FERIADO,CAUSA_PROBABLE,TIPO_DE_SINIESTRO,TIPO_DE_VEHICULO_1,AUTOMOVIL,BICICLETA,BUS,CAMION,CAMIONETA,EMERGENCIAS,ESPECIAL,FURGONETA,MOTOCICLETA,NO_IDENTIFICADO,SCOOTER_ELECTRICO,TRICIMOTO,VEHICULO_DEPORTIVO_UTILITARIO,SUMA_DE_VEHICULOS,EDAD_1,SEXO_1,CONDICION_1,PARTICIPANTE_1,CASCO_1,CINTURON_1,KMeans_Cluster
0,0,1,2017,1,0,-0.083501,-78.417742,PICHINCHA,QUITO,CALDERON (CARAPUNGO),RURAL,2017-01-01,00:15:00,0,DOMINGO,7,ENERO,1,SI,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,1,0,0,0,1,36,MUJER,LESIONADO,PEATON,NO,NO,3
1,3,4,2017,0,0,-0.116059,-78.464188,PICHINCHA,QUITO,QUITO,RURAL,2017-01-01,00:25:00,0,DOMINGO,7,ENERO,1,SI,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FISICAS (SUENIO, CANSANCIO Y FATIGA).",ESTRELLAMIENTOS,AUTOMOVIL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR AUSENTE,NO,NO,2
2,4,5,2017,0,0,-0.239721,-78.512058,PICHINCHA,QUITO,QUITO,URBANA,2017-01-01,00:30:00,0,DOMINGO,7,ENERO,1,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CAIDA DE PASAJERO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,HOMBRE,ILESO,PASAJERO,NO,NO,0
3,5,6,2017,0,0,-0.116354,-78.465037,PICHINCHA,QUITO,QUITO,URBANA,2017-01-01,00:30:00,0,DOMINGO,7,ENERO,1,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,BUS,1,0,1,0,0,0,0,0,0,0,0,0,1,3,36,HOMBRE,ILESO,CONDUCTOR PRESENTE,NO,NO,0
4,11,12,2017,0,0,-0.242463,-78.482784,PICHINCHA,QUITO,QUITO,RURAL,2017-01-01,03:28:00,3,DOMINGO,7,ENERO,1,SI,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FISICAS (SUENIO, CANSANCIO Y FATIGA).",ESTRELLAMIENTOS,CAMIONETA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR AUSENTE,NO,NO,2
5,16,17,2017,0,0,-0.218381,-78.521483,PICHINCHA,QUITO,QUITO,URBANA,2017-01-01,04:00:00,4,DOMINGO,7,ENERO,1,SI,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FISICAS (SUENIO, CANSANCIO Y FATIGA).",ESTRELLAMIENTOS,CAMIONETA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR AUSENTE,NO,NO,2
6,18,19,2017,0,0,-0.104624,-78.491611,PICHINCHA,QUITO,QUITO,URBANA,2017-01-01,04:48:00,4,DOMINGO,7,ENERO,1,SI,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FISICAS (SUENIO, CANSANCIO Y FATIGA).",ESTRELLAMIENTOS,AUTOMOVIL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR AUSENTE,NO,NO,2
7,19,20,2017,0,1,-0.130542,-78.310081,PICHINCHA,QUITO,CHECA (CHILPA),RURAL,2017-01-01,04:50:00,4,DOMINGO,7,ENERO,1,SI,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL.,CHOQUE FRONTAL,MOTOCICLETA,1,0,0,0,0,0,0,0,1,0,0,0,0,2,42,HOMBRE,FALLECIDO,CONDUCTOR PRESENTE,NO,NO,3
8,25,26,2017,0,0,-0.246849,-78.532226,PICHINCHA,QUITO,QUITO,URBANA,2017-01-01,05:25:00,5,DOMINGO,7,ENERO,1,SI,"NO RESPETAR LAS SENIALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMOVIL,2,0,0,0,0,0,0,0,0,0,0,0,0,2,54,HOMBRE,ILESO,CONDUCTOR PRESENTE,NO,NO,0
9,26,27,2017,0,0,-0.053642,-78.327161,PICHINCHA,QUITO,GUAYLLABAMBA,RURAL,2017-01-01,05:30:00,5,DOMINGO,7,ENERO,1,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,AUTOMOVIL,1,0,0,0,0,0,0,0,0,0,0,0,1,2,44,HOMBRE,ILESO,CONDUCTOR PRESENTE,NO,NO,3
